period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2020Q1,Jan to Mar 2020,Tana River County,Garsen Sub County,Garsen South Ward,174,0,174
2020Q1,Jan to Mar 2020,Tana River County,Garsen Sub County,Garsen West Ward,115,1,114
2020Q1,Jan to Mar 2020,Muranga County,Gatanga Sub County,Gatanga Ward,17,0,17
2020Q1,Jan to Mar 2020,Nyeri County,Kieni West Sub County,Gatarakwa Ward,2,0,2
2020Q1,Jan to Mar 2020,Nyandarua County,Oljoroorok Sub County,Gathanji Ward,32,0,32
2020Q1,Jan to Mar 2020,Nyandarua County,Kinangop Sub County,Gathara Ward,67,1,66
2020Q1,Jan to Mar 2020,Kirinyaga County,Kirinyaga South Sub County,Gathigiriri Ward,61,0,61
2020Q1,Jan to Mar 2020,Nyandarua County,Oljoroorok Sub County,Gatimu Ward,10,2,8
2020Q1,Jan to Mar 2020,Nairobi County,Dagoretti North Sub County,Gatina Ward,3,0,3
2020Q1,Jan to Mar 2020,Nyeri County,Nyeri Central Sub County,Gatitu/Muruguru Ward,7,0,7
2020Q1,Jan to Mar 2020,Kiambu County,Ruiru Sub County,Gatongora Ward,28,0,28
2020Q1,Jan to Mar 2020,Kiambu County,Thika Town Sub County,Gatuanyaga Ward,32,1,31
2020Q1,Jan to Mar 2020,Tharaka Nithi County,Tharaka North Sub County,Gatunga Ward,72,2,70
2020Q1,Jan to Mar 2020,Embu County,Manyatta Sub County,Gaturi North Ward,6,0,6
2020Q1,Jan to Mar 2020,Embu County,Manyatta Sub County,Gaturi South Ward,15,0,15
2020Q1,Jan to Mar 2020,Muranga County,Kiharu Sub County,Gaturi Ward,29,0,29
2020Q1,Jan to Mar 2020,Homa Bay County,Mbita Sub County,Gembe Ward,38,0,38
2020Q1,Jan to Mar 2020,Nyamira County,Masaba North Sub County,Gesima Ward,96,2,94
2020Q1,Jan to Mar 2020,Kisii County,Nyaribari Masaba Sub County,Gesusu Ward,42,2,40
2020Q1,Jan to Mar 2020,Nyandarua County,Kipipiri Sub County,Geta Ward,29,0,29
2020Q1,Jan to Mar 2020,Kisii County,South Mugirango Sub County,Getenga Ward,43,5,38
2020Q1,Jan to Mar 2020,Nyeri County,Mukurweini Sub County,Gikondi Ward,0,0,0
2020Q1,Jan to Mar 2020,Nakuru County,Gilgil Sub County,Gilgil Ward,100,1,99
2020Q1,Jan to Mar 2020,Vihiga County,Hamisi Sub County,Gisambai Ward,75,7,68
2020Q1,Jan to Mar 2020,Kiambu County,Kabete Sub County,Gitaru Ward,0,0,0
2020Q1,Jan to Mar 2020,Nyandarua County,Kinangop Sub County,Githabai Ward,14,0,14
2020Q1,Jan to Mar 2020,Mandera County,Mandera West Sub County,Gither Ward,82,8,74
2020Q1,Jan to Mar 2020,Kiambu County,Githunguri Sub County,Githiga Ward,66,1,65
2020Q1,Jan to Mar 2020,Laikipia County,Laikipia West Sub County,Githiga Ward,63,1,62
2020Q1,Jan to Mar 2020,Nyandarua County,Kipipiri Sub County,Githioro Ward,27,0,27
2020Q1,Jan to Mar 2020,Kiambu County,Gatundu North Sub County,Githobokoni Ward,25,0,25
2020Q1,Jan to Mar 2020,Kiambu County,Githunguri Sub County,Githunguri Ward,101,0,101
2020Q1,Jan to Mar 2020,Nairobi County,Roysambu Sub County,Githurai Ward,19,0,19
2020Q1,Jan to Mar 2020,Kiambu County,Ruiru Sub County,Gitothua Ward,5,5,0
2020Q1,Jan to Mar 2020,Kiambu County,Gatundu North Sub County,Gituamba Ward,23,0,23
2020Q1,Jan to Mar 2020,Muranga County,Mathioya Sub County,Gitugi Ward,49,0,49
2020Q1,Jan to Mar 2020,Migori County,Suna East Sub County,God Jope Ward,29,1,28
2020Q1,Jan to Mar 2020,Wajir County,Wajir North Sub County,Godoma Ward,37,6,31
2020Q1,Jan to Mar 2020,Migori County,Kuria East Sub County,Gokeharaka/Getambwega Ward,34,0,34
2020Q1,Jan to Mar 2020,Marsabit County,Moyale Sub County,Golbo Ward,45,11,34
2020Q1,Jan to Mar 2020,Kilifi County,Magarini Sub County,Gongoni Ward,41,0,41
2020Q1,Jan to Mar 2020,Garissa County,Lagdera Sub County,Goreale Ward,3,1,2
2020Q1,Jan to Mar 2020,Migori County,Nyatike Sub County,Got Kachola Ward,71,2,69
2020Q1,Jan to Mar 2020,Mandera County,Banissa Sub County,Guba Ward,50,34,16
2020Q1,Jan to Mar 2020,Wajir County,Wajir North Sub County,Gurar Ward,0,0,0
2020Q1,Jan to Mar 2020,Mandera County,Mandera North Sub County,Guticha Ward,8,0,8
2020Q1,Jan to Mar 2020,Homa Bay County,Suba South Sub County,Gwassi North Ward,187,11,176
2020Q1,Jan to Mar 2020,Homa Bay County,Suba South Sub County,Gwassi South Ward,117,6,111
2020Q1,Jan to Mar 2020,Wajir County,Wajir South Sub County,Habasswein Ward,72,0,72
2020Q1,Jan to Mar 2020,Wajir County,Wajir West Sub County,Hadado/Athibohol Ward,40,5,35
2020Q1,Jan to Mar 2020,Nairobi County,Makadara Sub County,Harambee Ward,23,0,23
2020Q1,Jan to Mar 2020,Marsabit County,Moyale Sub County,Heillu/Manyatta Ward,10,0,10
2020Q1,Jan to Mar 2020,Nakuru County,Naivasha Sub County,Hellsgate Ward,85,1,84
2020Q1,Jan to Mar 2020,Lamu County,Lamu West Sub County,Hindi Ward,44,0,44
2020Q1,Jan to Mar 2020,Homa Bay County,Homa Bay Town Sub County,Homa Bay Arujo Ward,77,0,77
2020Q1,Jan to Mar 2020,Homa Bay County,Homa Bay Town Sub County,Homa Bay Central Ward,276,12,264
2020Q1,Jan to Mar 2020,Homa Bay County,Homa Bay Town Sub County,Homa Bay East Ward,110,7,103
2020Q1,Jan to Mar 2020,Homa Bay County,Homa Bay Town Sub County,Homa Bay West Ward,34,2,32
2020Q1,Jan to Mar 2020,Lamu County,Lamu West Sub County,Hongwe Ward,34,0,34
2020Q1,Jan to Mar 2020,Kiambu County,Thika Town Sub County,Hospital Ward,11,0,11
2020Q1,Jan to Mar 2020,Nairobi County,Mathare Sub County,Hospital Ward,233,7,226
2020Q1,Jan to Mar 2020,Trans Nzoia County,Kiminini Sub County,Hospital Ward,255,5,250
2020Q1,Jan to Mar 2020,Garissa County,Hulugho Sub County,Hulugho Ward,2,0,2
2020Q1,Jan to Mar 2020,Nairobi County,Mathare Sub County,Huruma Ward,41,0,41
2020Q1,Jan to Mar 2020,Uasin Gishu County,Turbo Sub County,Huruma Ward,40,0,40
2020Q1,Jan to Mar 2020,Kisii County,Nyaribari Chache Sub County,Ibeno Ward,26,1,25
2020Q1,Jan to Mar 2020,Wajir County,Wajir South Sub County,Ibrahim Ure Ward,0,0,0
2020Q1,Jan to Mar 2020,Muranga County,Muranga South Sub County,Ichagaki Ward,1,0,1
2020Q1,Jan to Mar 2020,Kisii County,Nyaribari Masaba Sub County,Ichuni Ward,64,2,62
2020Q1,Jan to Mar 2020,Kakamega County,Ikolomani Sub County,Idakho Central Ward,125,5,120
2020Q1,Jan to Mar 2020,Kakamega County,Ikolomani Sub County,Idakho East Ward,107,0,107
2020Q1,Jan to Mar 2020,Kakamega County,Ikolomani Sub County,Idakho North Ward,31,0,31
2020Q1,Jan to Mar 2020,Kakamega County,Ikolomani Sub County,Idakho South Ward,49,1,48
2020Q1,Jan to Mar 2020,Garissa County,Garissa Sub County,Iftin Ward,36,0,36
2020Q1,Jan to Mar 2020,Tharaka Nithi County,Igambangombe Sub County,Igambang'ombe Ward,89,0,89
2020Q1,Jan to Mar 2020,Meru County,Igembe Central Sub County,Igembe East Ward,184,2,182
2020Q1,Jan to Mar 2020,Meru County,Imenti South Sub County,Igoji East Ward,25,20,5
2020Q1,Jan to Mar 2020,Meru County,Imenti South Sub County,Igoji West Ward,15,0,15
2020Q1,Jan to Mar 2020,Laikipia County,Laikipia West Sub County,Igwamiti Ward,122,0,122
2020Q1,Jan to Mar 2020,Baringo County,Marigat Sub County,Iichamus Ward,26,0,26
2020Q1,Jan to Mar 2020,Garissa County,Ijara Sub County,Ijara Ward,0,0,0
2020Q1,Jan to Mar 2020,Kitui County,Kitui South Sub County,Ikanga/Kyatune Ward,62,1,61
2020Q1,Jan to Mar 2020,Kiambu County,Githunguri Sub County,Ikinu Ward,10,0,10
2020Q1,Jan to Mar 2020,Machakos County,Yatta Sub County,Ikombe Ward,35,1,34
2020Q1,Jan to Mar 2020,Kitui County,Kitui South Sub County,Ikutha Ward,88,0,88
2020Q1,Jan to Mar 2020,Narok County,Narok East Sub County,Ildamat Ward,46,0,46
2020Q1,Jan to Mar 2020,Kajiado County,Kajiado Central Sub County,Ildamat Ward,161,2,159
2020Q1,Jan to Mar 2020,Makueni County,Kaiti Sub County,Ilima Ward,25,0,25
2020Q1,Jan to Mar 2020,Narok County,Transmara East Sub County,Ilkerin Ward,180,0,180
2020Q1,Jan to Mar 2020,Marsabit County,North Horr Sub County,Illeret Ward,32,0,32
2020Q1,Jan to Mar 2020,Narok County,Narok West Sub County,Ilmotiook Ward,108,0,108
2020Q1,Jan to Mar 2020,Kajiado County,Kajiado West Sub County,Iloodokilani Ward,178,12,166
2020Q1,Jan to Mar 2020,Nairobi County,Embakasi South Sub County,Imara Daima Ward,73,0,73
2020Q1,Jan to Mar 2020,Kajiado County,Kajiado East Sub County,Imaroro Ward,100,1,99
2020Q1,Jan to Mar 2020,Kajiado County,Loitokitok Sub County,Imbrikani/Eselelnkei Ward,49,3,46
2020Q1,Jan to Mar 2020,Kakamega County,Navakholo Sub County,Ingoste-matiha Ward,88,0,88
2020Q1,Jan to Mar 2020,Kirinyaga County,Kirinyaga Central Sub County,Inoi Ward,6,0,6
2020Q1,Jan to Mar 2020,Nyeri County,Nyeri South Sub County,Iria-ini Ward,8,0,8
2020Q1,Jan to Mar 2020,Nyeri County,Mathira East Sub County,Iriaini Ward,2,0,2
2020Q1,Jan to Mar 2020,Migori County,Kuria West Sub County,Isibania Ward,58,3,55
2020Q1,Jan to Mar 2020,Kakamega County,Shinyalu Sub County,Isukha Central Ward,79,5,74
2020Q1,Jan to Mar 2020,Kakamega County,Shinyalu Sub County,Isukha East Ward,55,0,55
2020Q1,Jan to Mar 2020,Kakamega County,Shinyalu Sub County,Isukha North Ward,99,3,96
2020Q1,Jan to Mar 2020,Kakamega County,Shinyalu Sub County,Isukha South Ward,62,1,61
2020Q1,Jan to Mar 2020,Kakamega County,Shinyalu Sub County,Isukha West Ward,30,3,27
2020Q1,Jan to Mar 2020,Muranga County,Gatanga Sub County,Ithanga Ward,151,2,149
2020Q1,Jan to Mar 2020,Muranga County,Kandara Sub County,Ithiru Ward,82,0,82
2020Q1,Jan to Mar 2020,Nyamira County,Nyamira North Sub County,Itibo Ward,62,3,59
2020Q1,Jan to Mar 2020,Makueni County,Kibwezi East Sub County,Ivingoni/Nzambani Ward,51,4,47
2020Q1,Jan to Mar 2020,Garissa County,Balambala Sub County,Jarajara Ward,2,0,2
2020Q1,Jan to Mar 2020,Garissa County,Fafi Sub County,Jarajila Ward,0,0,0
2020Q1,Jan to Mar 2020,Kilifi County,Ganze Sub County,Jaribuni Ward,35,0,35
2020Q1,Jan to Mar 2020,Vihiga County,Hamisi Sub County,Jepkoyai Ward,75,6,69
2020Q1,Jan to Mar 2020,Kilifi County,Malindi Sub County,Jilore Ward,68,0,68
2020Q1,Jan to Mar 2020,Mombasa County,Jomvu Sub County,Jomvu Kuu Ward,28,0,28
2020Q1,Jan to Mar 2020,Kiambu County,Juja Sub County,Juja Ward,78,2,76
2020Q1,Jan to Mar 2020,Mombasa County,Kisauni Sub County,Junda Ward,6,0,6
2020Q1,Jan to Mar 2020,Kilifi County,Kilifi South Sub County,Junju Ward,110,0,110
2020Q1,Jan to Mar 2020,Turkana County,Turkana North Sub County,Kaaleng/Kaikor Ward,8,1,7
2020Q1,Jan to Mar 2020,Kirinyaga County,Kirinyaga East Sub County,Kabare Ward,24,0,24
2020Q1,Jan to Mar 2020,Baringo County,Baringo Central Sub County,Kabarnet Ward,88,26,62
2020Q1,Jan to Mar 2020,Baringo County,Baringo North Sub County,Kabartonjo Ward,21,1,20
2020Q1,Jan to Mar 2020,Nyeri County,Kieni East Sub County,Kabaru Ward,34,0,34
2020Q1,Jan to Mar 2020,Nakuru County,Nakuru North Sub County,Kabatini Ward,43,0,43
2020Q1,Jan to Mar 2020,Nakuru County,Subukia Sub County,Kabazi Ward,61,25,36
2020Q1,Jan to Mar 2020,Kiambu County,Kabete Sub County,Kabete Ward,121,0,121
2020Q1,Jan to Mar 2020,Kericho County,Belgut Sub County,Kabianga Ward,68,2,66
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Keiyo South Sub County,Kabiemit Ward,8,0,8
2020Q1,Jan to Mar 2020,Nairobi County,Dagoretti North Sub County,Kabiro Ward,102,1,101
2020Q1,Jan to Mar 2020,Nandi County,Mosop Sub County,Kabisaga Ward,16,0,16
2020Q1,Jan to Mar 2020,Nandi County,Mosop Sub County,Kabiyet Ward,141,41,100
2020Q1,Jan to Mar 2020,Homa Bay County,Kabondo Kasipul Sub County,Kabondo East Ward,110,16,94
2020Q1,Jan to Mar 2020,Homa Bay County,Kabondo Kasipul Sub County,Kabondo West Ward,178,11,167
2020Q1,Jan to Mar 2020,Kisumu County,Nyando Sub County,Kabonyo/Kanyagwai Ward,41,1,40
2020Q1,Jan to Mar 2020,Homa Bay County,Ndhiwa Sub County,Kabouch North Ward,71,4,67
2020Q1,Jan to Mar 2020,Bungoma County,Kabuchai Sub County,Kabuchai/Chwele Ward,106,1,105
2020Q1,Jan to Mar 2020,Bungoma County,Bumula Sub County,Kabula Ward,42,1,41
2020Q1,Jan to Mar 2020,Homa Bay County,Ndhiwa Sub County,Kabuoch South/Pala Ward,98,10,88
2020Q1,Jan to Mar 2020,Nandi County,Aldai Sub County,Kabwareng Ward,67,0,67
2020Q1,Jan to Mar 2020,Migori County,Nyatike Sub County,Kachien'g Ward,116,6,110
2020Q1,Jan to Mar 2020,Mombasa County,Nyali Sub County,Kadzandani Ward,2,0,2
2020Q1,Jan to Mar 2020,Turkana County,Turkana North Sub County,Kaeris Ward,33,20,13
2020Q1,Jan to Mar 2020,Embu County,Runyenjes Sub County,Kagaari North Ward,22,0,22
2020Q1,Jan to Mar 2020,Embu County,Runyenjes Sub County,Kagaari South Ward,21,1,20
2020Q1,Jan to Mar 2020,Homa Bay County,Rangwe Sub County,Kagan Ward,99,5,94
2020Q1,Jan to Mar 2020,Muranga County,Kandara Sub County,Kagundu-ini Ward,33,0,33
2020Q1,Jan to Mar 2020,Nairobi County,Roysambu Sub County,Kahawa Ward,101,29,72
2020Q1,Jan to Mar 2020,Kiambu County,Ruiru Sub County,Kahawa Wendani Ward,3,0,3
2020Q1,Jan to Mar 2020,Nairobi County,Roysambu Sub County,Kahawa West Ward,307,142,165
2020Q1,Jan to Mar 2020,Kiambu County,Ruiru Sub County,Kahawa/Sukari Ward,0,0,0
2020Q1,Jan to Mar 2020,Muranga County,Kigumo Sub County,Kahumbu Ward,29,1,28
2020Q1,Jan to Mar 2020,Nyandarua County,Olkalou Sub County,Kaimbaga Ward,1,0,1
2020Q1,Jan to Mar 2020,Kisumu County,Kisumu East Sub County,Kajulu Ward,71,6,65
2020Q1,Jan to Mar 2020,Migori County,Suna East Sub County,Kakrao Ward,66,4,62
2020Q1,Jan to Mar 2020,Homa Bay County,Suba South Sub County,Kaksingiri West Ward,148,12,136
2020Q1,Jan to Mar 2020,Turkana County,Turkana West Sub County,Kakuma Ward,491,33,458
2020Q1,Jan to Mar 2020,Kilifi County,Malindi Sub County,Kakuyuni Ward,40,1,39
2020Q1,Jan to Mar 2020,Muranga County,Gatanga Sub County,Kakuzi/Mitubiri Ward,45,0,45
2020Q1,Jan to Mar 2020,Machakos County,Kalama Sub County,Kalama Ward,39,0,39
2020Q1,Jan to Mar 2020,Turkana County,Turkana South Sub County,Kalapata Ward,30,0,30
2020Q1,Jan to Mar 2020,Makueni County,Mbooni Sub County,Kalawa Ward,55,0,55
2020Q1,Jan to Mar 2020,Migori County,Nyatike Sub County,Kaler Ward,27,0,27
2020Q1,Jan to Mar 2020,Kiambu County,Juja Sub County,Kalimoni Ward,54,0,54
2020Q1,Jan to Mar 2020,Turkana County,Turkana West Sub County,Kalobeyei Ward,88,0,88
2020Q1,Jan to Mar 2020,Turkana County,Turkana Central Sub County,Kalokol Ward,114,3,111
2020Q1,Jan to Mar 2020,Taita Taveta County,Voi Sub County,Kaloleni Ward,69,0,69
2020Q1,Jan to Mar 2020,Kilifi County,Kaloleni Sub County,Kaloleni Ward,128,0,128
2020Q1,Jan to Mar 2020,Muranga County,Mathioya Sub County,Kamacharia Ward,12,0,12
2020Q1,Jan to Mar 2020,Uasin Gishu County,Turbo Sub County,Kamagut Ward,9,0,9
2020Q1,Jan to Mar 2020,Muranga County,Muranga South Sub County,Kamahuha Ward,15,0,15
2020Q1,Jan to Mar 2020,Nyeri County,Nyeri Central Sub County,Kamakwa/Mukaro Ward,54,1,53
2020Q1,Jan to Mar 2020,Nakuru County,Kuresoi North Sub County,Kamara Ward,70,1,69
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Keiyo North Sub County,Kamariny Ward,49,0,49
2020Q1,Jan to Mar 2020,Kericho County,Kipkelion West Sub County,Kamasian Ward,41,1,40
2020Q1,Jan to Mar 2020,Kilifi County,Rabai Sub County,Kambe/Ribe Ward,32,0,32
2020Q1,Jan to Mar 2020,Muranga County,Muranga South Sub County,Kambiti Ward,43,0,43
2020Q1,Jan to Mar 2020,Kiambu County,Lari Sub County,Kamburu Ward,21,0,21
2020Q1,Jan to Mar 2020,Kiambu County,Thika Town Sub County,Kamenu Ward,155,0,155
2020Q1,Jan to Mar 2020,Nyamira County,Manga Sub County,Kamera Ward,150,1,149
2020Q1,Jan to Mar 2020,Bungoma County,Kimilili Sub County,Kamukuywa Ward,71,0,71
2020Q1,Jan to Mar 2020,Turkana County,Turkana Central Sub County,Kanamkemer Ward,85,4,81
2020Q1,Jan to Mar 2020,Turkana County,Turkana Central Sub County,Kang'atotha Ward,53,0,53
2020Q1,Jan to Mar 2020,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Kangai Ward,13,0,13
2020Q1,Jan to Mar 2020,Muranga County,Kigumo Sub County,Kangari Ward,35,0,35
2020Q1,Jan to Mar 2020,Nairobi County,Westlands Sub County,Kangemi Ward,233,4,229
2020Q1,Jan to Mar 2020,Meru County,Igembe Central Sub County,Kangeta Ward,132,5,127
2020Q1,Jan to Mar 2020,Machakos County,Kangundo Sub County,Kangundo Central Ward,27,0,27
2020Q1,Jan to Mar 2020,Machakos County,Kangundo Sub County,Kangundo East Ward,10,0,10
2020Q1,Jan to Mar 2020,Machakos County,Kangundo Sub County,Kangundo North Ward,16,0,16
2020Q1,Jan to Mar 2020,Machakos County,Kangundo Sub County,Kangundo West Ward,31,1,30
2020Q1,Jan to Mar 2020,Nyandarua County,Olkalou Sub County,Kanjuiri Range Ward,48,0,48
2020Q1,Jan to Mar 2020,Meru County,Igembe South Sub County,Kanuni Ward,154,6,148
2020Q1,Jan to Mar 2020,Homa Bay County,Ndhiwa Sub County,Kanyadoto Ward,52,14,38
2020Q1,Jan to Mar 2020,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,45,0,45
2020Q1,Jan to Mar 2020,Homa Bay County,Ndhiwa Sub County,Kanyamwa Kologi Ward,47,1,46
2020Q1,Jan to Mar 2020,Homa Bay County,Ndhiwa Sub County,Kanyamwa Kosewe Ward,197,7,190
2020Q1,Jan to Mar 2020,Kitui County,Kitui Rural Sub County,Kanyangi Ward,34,2,32
2020Q1,Jan to Mar 2020,Migori County,Nyatike Sub County,Kanyasa Ward,92,2,90
2020Q1,Jan to Mar 2020,Kirinyaga County,Kirinyaga Central Sub County,Kanyekini Ward,34,0,34
2020Q1,Jan to Mar 2020,Muranga County,Kangema Sub County,Kanyenya-ini Ward,7,0,7
2020Q1,Jan to Mar 2020,Homa Bay County,Ndhiwa Sub County,Kanyikela Ward,55,7,48
2020Q1,Jan to Mar 2020,Kitui County,Kitui South Sub County,Kanziku Ward,30,0,30
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Keiyo North Sub County,Kapchemutwa Ward,68,4,64
2020Q1,Jan to Mar 2020,West Pokot County,Pokot North Sub County,Kapchok Ward,56,0,56
2020Q1,Jan to Mar 2020,Nandi County,Nandi Hills Sub County,Kapchorua Ward,20,0,20
2020Q1,Jan to Mar 2020,Turkana County,Turkana East Sub County,Kapedo/Napeitom Ward,9,0,9
2020Q1,Jan to Mar 2020,West Pokot County,West Pokot Sub County,Kapenguria Ward,323,5,318
2020Q1,Jan to Mar 2020,Nandi County,Emgwen Sub County,Kapkangani Ward,127,0,127
2020Q1,Jan to Mar 2020,Bungoma County,Cheptais Sub County,Kapkateny Ward,60,2,58
2020Q1,Jan to Mar 2020,Kericho County,Bureti Sub County,Kapkatet Ward,128,2,126
2020Q1,Jan to Mar 2020,Kericho County,Ainamoi Sub County,Kapkugerwet Ward,65,0,65
2020Q1,Jan to Mar 2020,Nakuru County,Nakuru West Sub County,Kapkures Ward,27,0,27
2020Q1,Jan to Mar 2020,Uasin Gishu County,Soy Sub County,Kapkures Ward,10,1,9
2020Q1,Jan to Mar 2020,Trans Nzoia County,Cherangany Sub County,Kaplamai Ward,75,1,74
2020Q1,Jan to Mar 2020,Kericho County,Sigowet/Soin Sub County,Kaplelartet Ward,40,1,39
2020Q1,Jan to Mar 2020,Bomet County,Sotik Sub County,Kapletundo Ward,135,0,135
2020Q1,Jan to Mar 2020,Trans Nzoia County,Kwanza Sub County,Kapomboi Ward,189,3,186
2020Q1,Jan to Mar 2020,Baringo County,Baringo Central Sub County,Kapropita Ward,1,0,1
2020Q1,Jan to Mar 2020,Nandi County,Emgwen Sub County,Kapsabet Ward,258,27,231
2020Q1,Jan to Mar 2020,Kericho County,Ainamoi Sub County,Kapsaos Ward,104,0,104
2020Q1,Jan to Mar 2020,Uasin Gishu County,Turbo Sub County,Kapsaos Ward,0,0,0
2020Q1,Jan to Mar 2020,Narok County,Transmara East Sub County,Kapsasian Ward,37,1,36
2020Q1,Jan to Mar 2020,Nandi County,Tinderet Sub County,Kapsimwotwo Ward,14,0,14
2020Q1,Jan to Mar 2020,Kericho County,Ainamoi Sub County,Kapsoit Ward,25,1,24
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Marakwet West Sub County,Kapsowar Ward,58,1,57
2020Q1,Jan to Mar 2020,Uasin Gishu County,Ainabkoi Sub County,Kapsoya Ward,62,0,62
2020Q1,Jan to Mar 2020,Kericho County,Belgut Sub County,Kapsuser Ward,18,1,17
2020Q1,Jan to Mar 2020,Uasin Gishu County,Ainabkoi Sub County,Kaptagat Ward,43,0,43
2020Q1,Jan to Mar 2020,Bungoma County,Mt Elgon Sub County,Kaptama Ward,102,0,102
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Keiyo South Sub County,Kaptarakwa Ward,15,0,15
2020Q1,Jan to Mar 2020,Nandi County,Chesumei Sub County,Kaptel/Kamoiywo Ward,70,9,61
2020Q1,Jan to Mar 2020,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,17,1,16
2020Q1,Jan to Mar 2020,Nandi County,Aldai Sub County,Kaptumo/Kaboi Ward,131,1,130
2020Q1,Jan to Mar 2020,Kajiado County,Kajiado East Sub County,Kaputiei North Ward,158,5,153
2020Q1,Jan to Mar 2020,Turkana County,Turkana South Sub County,Kaputir Ward,36,0,36
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Marakwet East Sub County,Kapyego Ward,24,5,19
2020Q1,Jan to Mar 2020,Kiambu County,Kikuyu Sub County,Karai Ward,13,0,13
2020Q1,Jan to Mar 2020,Meru County,Tigania East Sub County,Karama Ward,4,0,4
2020Q1,Jan to Mar 2020,Marsabit County,Saku Sub County,Karare Ward,52,1,51
2020Q1,Jan to Mar 2020,Nyeri County,Mathira East Sub County,Karatina Town Ward,55,2,53
2020Q1,Jan to Mar 2020,Nyandarua County,Olkalou Sub County,Karau Ward,7,0,7
2020Q1,Jan to Mar 2020,Nairobi County,Langata Sub County,Karen Ward,60,1,59
2020Q1,Jan to Mar 2020,Marsabit County,Laisamis Sub County,Kargi/South Horr Ward,6,0,6
2020Q1,Jan to Mar 2020,Muranga County,Gatanga Sub County,Kariara Ward,57,0,57
2020Q1,Jan to Mar 2020,Nyeri County,Nyeri South Sub County,Karima Ward,44,0,44
2020Q1,Jan to Mar 2020,Tharaka Nithi County,Chuka Sub County,Karingani Ward,94,0,94
2020Q1,Jan to Mar 2020,Nairobi County,Embakasi North Sub County,Kariobangi North Ward,130,1,129
2020Q1,Jan to Mar 2020,Nairobi County,Embakasi West Sub County,Kariobangi South Ward,136,0,136
2020Q1,Jan to Mar 2020,Kirinyaga County,Kirinyaga West Sub County,Kariti Ward,34,0,34
2020Q1,Jan to Mar 2020,Kirinyaga County,Kirinyaga East Sub County,Karumandi Ward,8,0,8
2020Q1,Jan to Mar 2020,Uasin Gishu County,Moiben Sub County,Karuna/Meibeki Ward,15,0,15
2020Q1,Jan to Mar 2020,Nairobi County,Westlands Sub County,Karura Ward,33,0,33
2020Q1,Jan to Mar 2020,Kiambu County,Kiambaa Sub County,Karuri Ward,62,0,62
2020Q1,Jan to Mar 2020,Nairobi County,Kasarani Sub County,Kasarani Ward,75,7,68
2020Q1,Jan to Mar 2020,West Pokot County,Pokot North Sub County,Kasei Ward,23,1,22
2020Q1,Jan to Mar 2020,Kwale County,Kinango Sub County,Kasemeni Ward,197,3,194
