period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2016Q4,Oct to Dec 2016,Nakuru County,Gilgil Sub County,Malewa West Ward,47,0,47
2016Q4,Oct to Dec 2016,Kilifi County,Malindi Sub County,Malindi Town Ward,3,0,3
2016Q4,Oct to Dec 2016,Wajir County,Wajir North Sub County,Malkagufu Ward,3,0,3
2016Q4,Oct to Dec 2016,Mandera County,Banissa Sub County,Malkamari Ward,0,0,0
2016Q4,Oct to Dec 2016,Kakamega County,Malava Sub County,Manda-shivanga Ward,1,0,1
2016Q4,Oct to Dec 2016,Kiambu County,Gatundu North Sub County,Mang'u Ward,117,0,117
2016Q4,Oct to Dec 2016,Nyamira County,Manga Sub County,Manga Ward,57,0,57
2016Q4,Oct to Dec 2016,Kisumu County,Kisumu East Sub County,Manyatta B Ward,4,0,4
2016Q4,Oct to Dec 2016,Narok County,Narok West Sub County,Mara Ward,236,9,227
2016Q4,Oct to Dec 2016,Busia County,Butula Sub County,Marachi Central Ward,50,0,50
2016Q4,Oct to Dec 2016,Busia County,Butula Sub County,Marachi East Ward,88,0,88
2016Q4,Oct to Dec 2016,Busia County,Butula Sub County,Marachi North Ward,22,1,21
2016Q4,Oct to Dec 2016,Busia County,Butula Sub County,Marachi West Ward,73,3,70
2016Q4,Oct to Dec 2016,Kilifi County,Magarini Sub County,Marafa Ward,100,0,100
2016Q4,Oct to Dec 2016,Bungoma County,Webuye East Sub County,Maraka Ward,67,0,67
2016Q4,Oct to Dec 2016,Bungoma County,Kanduyi Sub County,Marakaru/Tuuti Ward,0,0,0
2016Q4,Oct to Dec 2016,Samburu County,Samburu Central Sub County,Maralal Ward,178,4,174
2016Q4,Oct to Dec 2016,Kakamega County,Butere Sub County,Marama Central Ward,99,0,99
2016Q4,Oct to Dec 2016,Kakamega County,Butere Sub County,Marama North Ward,11,1,10
2016Q4,Oct to Dec 2016,Kakamega County,Butere Sub County,Marama South Ward,27,0,27
2016Q4,Oct to Dec 2016,Kakamega County,Butere Sub County,Marama West Ward,27,0,27
2016Q4,Oct to Dec 2016,Kisii County,Kitutu Chache North Sub County,Marani Ward,113,1,112
2016Q4,Oct to Dec 2016,Kakamega County,Butere Sub County,Marenyo-shianda Ward,3,0,3
2016Q4,Oct to Dec 2016,Kilifi County,Kaloleni Sub County,Mariakani Ward,102,2,100
